"date","variable","strat","type","median","mean","sd","lower_95","lower_50","lower_20","upper_20","upper_50","upper_95"
2022-06-08,"infections",NA,"estimate",2.91296260478909,2.92333128067881,0.387117094280927,2.20693980787824,2.66399969801661,2.81510528106924,3.00697604913992,3.18117665580405,3.70793943004767
2022-06-09,"infections",NA,"estimate",3.24899528582046,3.26060117646326,0.411346012850063,2.49438467971775,2.98550185181421,3.14366538732129,3.3509073203964,3.52643072536337,4.09677978064636
2022-06-10,"infections",NA,"estimate",3.64571532406725,3.65215399836146,0.439556305069866,2.82973071527569,3.35727540446929,3.52736096234384,3.7556383008643,3.93836854176321,4.540699597963
2022-06-11,"infections",NA,"estimate",4.09903696081491,4.09995291431442,0.471862185407617,3.21056314726671,3.77622210248076,3.96215263024977,4.21088682268804,4.40054456555005,5.05011640193106
2022-06-12,"infections",NA,"estimate",4.60884350333902,4.60850892600487,0.508379669770813,3.64549093837225,4.26459199179067,4.46552496600865,4.73204308836247,4.93215278067166,5.61424687351165
2022-06-13,"infections",NA,"estimate",5.18792325085711,5.18497940190267,0.54940945810161,4.13850249753158,4.80566132345224,5.03213551290778,5.31731991528575,5.539511123619,6.2757955263154
2022-06-14,"infections",NA,"estimate",5.84367621245025,5.83892839740014,0.595482280832595,4.6996868449639,5.43741336319639,5.6732068851562,5.99108283638966,6.22993988432023,6.99244552560056
2022-06-15,"infections",NA,"estimate",6.57556264107372,6.58190996545416,0.647282179148715,5.32774338348508,6.13751561681192,6.39678876438513,6.74021482384717,7.00837146766296,7.83235687273082
2022-06-16,"infections",NA,"estimate",7.41942319780924,7.42700112702355,0.705503820952992,6.05364210924829,6.93904180029274,7.24297477492533,7.6050280761462,7.89311888091631,8.77660644941376
2022-06-17,"infections",NA,"estimate",8.39156805433204,8.38835942632993,0.770697391861191,6.89857629681251,7.85806815755795,8.17969694726282,8.57419524580814,8.90611957073136,9.88286953029479
2022-06-18,"infections",NA,"estimate",9.47806784713115,9.48082712530971,0.843140330117438,7.88541256456525,8.90163929190243,9.25889971095334,9.68164946237455,10.0396823321446,11.1654799292894
2022-06-19,"infections",NA,"estimate",10.6923108383085,10.7195610016901,0.9227634495573,8.9503640683162,10.0944816729099,10.4937983242161,10.9384122780196,11.3203491190178,12.6123950341672
2022-06-20,"infections",NA,"estimate",12.0934071612578,12.1196392567035,1.00915414081848,10.2143376353846,11.4279572292188,11.8796249589739,12.3419453778281,12.7732627984136,14.2059945090549
